20-12-2022 | 14: 57: 17,6,Binance USD,1.0,-0.1,18350116156
20-12-2022 | 14: 57: 23,6,Binance USD,1.0,-0.06,18347850417
20-12-2022 | 14: 57: 28,6,Binance USD,1.0,-0.06,18347850417
20-12-2022 | 14: 57: 34,6,Binance USD,1.0,-0.06,18347850417
20-12-2022 | 14: 57: 40,6,Binance USD,1.0,-0.06,18347850417
20-12-2022 | 14: 57: 46,6,Binance USD,1.0,-0.06,18347850417
20-12-2022 | 14: 57: 51,6,Binance USD,1.0,-0.06,18347850417
20-12-2022 | 14: 57: 58,6,Binance USD,1.0,-0.06,18347850417
20-12-2022 | 14: 58: 04,6,Binance USD,1.0,-0.06,18347850417
20-12-2022 | 14: 58: 10,6,Binance USD,1.0,-0.06,18347850417
20-12-2022 | 14: 58: 15,6,Binance USD,1.0,-0.06,18347850417
